,date,amount
0,2020/11/09,507
1,2020/11/10,568
2,2020/11/11,424
3,2020/11/12,339
4,2020/11/13,150
5,2020/11/16,470
6,2020/11/17,449
7,2020/11/18,452
8,2020/11/19,363
9,2020/11/20,163
10,2020/11/23,415
11,2020/11/24,543
12,2020/11/25,513
13,2020/11/26,362
14,2020/11/27,214
15,2020/11/30,447
16,2020/12/01,535
17,2020/12/02,435
18,2020/12/03,330
19,2020/12/04,196
20,2020/12/09,309
21,2020/12/10,301
22,2020/12/11,151
23,2020/12/14,438
24,2020/12/15,493
25,2020/12/16,274
